Lp.,Przedmiot planowanego zakupu,Ilość,Kwota brutto (w zł),Uzasadnienie zakupu (niezbędność dla uruchomienia przedsięwzięcia)
11,Licencja roczna – Higsfield (automatyzacja grafiki),1,1274,"Automatyzuje procesy twórcze, zwiększając wydajność pracy trzykrotnie. Przetwarzanie wsadowe pozwala obrabiać 1000 grafik w ciągu godziny zamiast 20 ręcznie. Personalizacja treści napędzana sztuczną inteligencją zwiększa skuteczność kampanii klientów średnio o 65%. Integracja z systemem zarządzania projektami eliminuje 15 godzin tygodniowo pracy ręcznej. Gotowe szablony skracają proces wdrażania nowego klienta z 2 dni do 2 godzin. Zachowuje prawa autorskie do generowanych treści."
12,Licencja roczna – ClickUp (zarządzanie projektami),1,520,"Centralnie zarządza wszystkimi projektami, gwarantując terminową i wysokiej jakości realizację. Precyzyjne śledzenie czasu pracy umożliwia dokładne rozliczenia z klientami (średnio 20% więcej przychodów). Automatyczne monitorowanie terminów zapobiega karom umownym (do 10 tysięcy złotych za projekt). Integracja z narzędziami używanymi przez klientów eliminuje podwójną pracę. Panele kontrolne w czasie rzeczywistym pozwalają klientom na bieżące śledzenie postępów. Obsługa 10 projektów jednocześnie bez dodatkowych kosztów."
13,Licencja roczna – Descript (edycja nagrań),1,1040,"Przyspiesza edycję nagrań, skracając montaż z 8 godzin do 1 godziny dzięki edycji przez tekst zamiast tradycyjnego montażu. Automatyczne usuwanie szumów i pogłosu eliminuje konieczność wynajmowania studia nagraniowego (oszczędność 1000 zł za sesję). Automatyczne przepisywanie mowy na tekst z 99% dokładnością eliminuje outsourcing tej usługi (300 zł za godzinę nagrania). Automatyczne usuwanie słów-pasożytów profesjonalizuje wypowiedzi klientów w materiałach. Możliwość poprawek bez ponownego nagrywania. Nagrywanie ekranu z wielościeżkową edycją dla poradników. Eksport w ponad 20 formatach dostosowanych do różnych platform."
14,Licencja roczna – ElevenLabs (synteza mowy),1,3574,Podstawa usług związanych ze sztuczną inteligencją głosową - główne źródło planowanych przychodów firmy. Obsługa języka polskiego i angielskiego z naturalnym akcentem otwiera 95% rynku. Klonowanie głosu prezesa firmy dla klientów korporacyjnych (wartość takiej usługi: 10 tysięcy złotych). Interfejs programistyczny z limitem 2 miliony znaków miesięcznie wystarcza na 20 projektów. Opóźnienie poniżej 400 milisekund umożliwia tworzenie botów rozmawiających w czasie rzeczywistym. Biblioteka 500+ głosów eliminuje koszty castingu lektorów (2000 zł za sesję). Zwrot z jednego bota głosowego wynosi 15 tysięcy złotych.
15,Licencja roczna – Figma (projektowanie),1,694,"Standard branżowy wymagany przez 80% klientów korporacyjnych. Współpraca w czasie rzeczywistym skraca cykle akceptacji projektów z 2 tygodni do 2 dni. Tryb dla programistów generuje kod dla zespołów developerskich klienta, eliminując nieporozumienia. Kontrola wersji chroni przed utratą pracy i umożliwia powrót do poprzednich wersji. Biblioteki komponentów przyspieszają tworzenie prototypów o 500%. Sprawdzanie dostępności zapewnia zgodność z wymaganiami dla osób niepełnosprawnych. Eksport do wszystkich formatów wymaganych przez klientów."
16,Licencja roczna – Little Snitch 6 (zapora sieciowa),1,252,"Zapewnia bezpieczeństwo wymagane przez klientów z sektora finansowego i medycznego. Blokuje wszystkie nieautoryzowane połączenia wychodzące, chroniąc przed kradzieżą danych. Monitorowanie ruchu sieciowego w czasie rzeczywistym dla audytów bezpieczeństwa. Osobne reguły dla każdego klienta izolują projekty. Tryb cichy podczas prezentacji eliminuje przypadkowe ujawnienie informacji. Certyfikowany przez Apple - pełna zgodność z zabezpieczeniami systemu. Dzienniki połączeń jako dowód w przypadku incydentów bezpieczeństwa."
17,Licencja roczna – Proton VPN (sieć prywatna),1,520,Niezbędny do bezpiecznej pracy z systemami klientów. Szyfrowanie danych podczas przesyłania chroni informacje klientów. Automatyczne odcięcie internetuje zapobiega przypadkowemu ujawnieniu adresu IP klienta. Routing przez serwery w Szwajcarii (najsilniejsze przepisy o prywatności). Brak zapisywania dzienników potwierdzony audytem PwC - dowód dla klientów. Szybkie serwery nie spowalniają przesyłania dużych plików. Podział tunelowania pozwala na jednoczesną pracę dla różnych klientów.
18,Licencja roczna – Manus (platforma automatyzacji),1,7200,"Platforma korporacyjna do kompleksowej automatyzacji - różnica między freelancerem a profesjonalną agencją. Silnik organizacyjny obsługuje 10 tysięcy działań na minutę, umożliwiając skalowanie bez ograniczeń. Gotowe łączniki do 500+ systemów skracają integracje z miesięcy do dni. Możliwość rebrandingu dla klientów premium (50% wyższa marża). Panel analityczny dowodzi zwrotu z inwestycji klientom konkretnymi liczbami. Szablony zgodności z przepisami otwierają rynki regulowane. Wartość średniego projektu z wykorzystaniem tej platformy: 50 tysięcy złotych. Zwrot z inwestycji po pierwszym wdrożeniu."
19,Licencja roczna – Google Workspace (poczta i dokumenty),1,756,"Podstawa profesjonalnej komunikacji i współpracy z klientami. Własna domena firmowa buduje wiarygodność w porównaniu do darmowych kont pocztowych (70% wyższa odpowiedź na pierwsze kontakty). Pojemność 30GB na użytkownika wystarcza na 5 lat dokumentacji. Spotkania online z nagrywaniem do 24 godzin dokumentują ustalenia z klientami. Udostępniane dyski z szczegółowymi uprawnieniami do bezpiecznej współpracy. System archiwizacji do celów prawnych i zgodności. Gwarancja dostępności 99,9%. Inteligentne podpowiedzi przyspieszają pisanie odpowiedzi o 30%."
20,Licencja roczna – Phantombuster (automatyzacja pozyskiwania klientów),1,2426,"Automatyzuje pozyskiwanie potencjalnych klientów, generując 50-krotny zwrot z inwestycji. 500 działań dziennie = 15 tysięcy leadów miesięcznie, przy 2% konwersji daje 300 nowych kontaktów. Pobieranie danych z LinkedIn zgodne z ich regulaminem dzięki oficjalnemu interfejsowi. Wyszukiwanie adresów email z 92% trafnością zmniejsza odrzuty. Automatyczne wzbogacanie dodaje 25 punktów danych na kontakt. Zaprogramowane kampanie działają całą dobę bez nadzoru. Integracja z systemem zarządzania projektami automatyzuje proces sprzedaży. Działanie w chmurze nie obciąża lokalnych zasobów. Wartość pozyskanego kontaktu: 100 złotych."
21,Licencja roczna – Lemlist Multichannel Expert (sprzedaż),1,3424,Skaluje sprzedaż B2B z personalizacją 1:1 w wolumenie 1:1000. Wiele kanałów komunikacji (email + LinkedIn + telefon) zwiększa odpowiedzi o 270%. Personalizacja napędzana sztuczną inteligencją generuje unikalne wiadomości - zerowy współczynnik spamu. Testowanie wariantów optymalizuje kampanie w czasie rzeczywistym (40% większa konwersja). Pula 10 tysięcy skrzynek eliminuje trafienie do folderu spam. Współpraca zespołowa dla zlecania zadań sprzedażowych na zewnątrz. Analityki udowadniają zwrot z inwestycji: średnio 8 tysięcy złotych przychodu na kampanię.
