Nazwa dewelopera,Forma prawna dewelopera,Nr KRS,Nr wpisu do CEiDG,Nr NIP,Nr REGON,Nr telefonu,Adres poczty elektronicznej,Nr faxu,Adres strony internetowej dewelopera,Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera ,Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera,"Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Dodatkowe lokalizacje, w których prowadzona jest sprzedaż",Sposób kontaktu nabywcy z deweloperem,Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego,"Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny ",Nr lokalu lub domu jednorodzinnego nadany przez dewelopera,Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł],Data od której cena obowiązuje cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego,Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł],Data od której cena obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni,"Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł]","Data od której obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3)",Rodzaj części nieruchomości będących przedmiotem umowy,Oznaczenie części nieruchomości nadane przez dewelopera,"Cena części nieruchomości, będących przedmiotem umowy [zł]","Data od której obowiązuje cena części nieruchomości, będących przedmiotem umowy","Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Oznaczenie pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali","Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł]","Data od której obowiązuje cena wyszczególnionych pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali",Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego,Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł],Data od której obowiązuje cena wartości praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego,"Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność","Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł]","Data od której obowiązuje cena wartości innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność","Adres strony internetowej, pod którym dostępny jest prospekt informacyjny"
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67A/2,84-239,Lokal mieszkalny,B14/2,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP27/MP28,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67B/1,84-239,Lokal mieszkalny,B15/1,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP29/MP30,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67B/2,84-239,Lokal mieszkalny,B15/2,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP31/MP32,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67C/1,84-239,Lokal mieszkalny,B16/1,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP33/MP34,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67C/2,84-239,Lokal mieszkalny,B16/2,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP35/MP36,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67D/1,84-239,Lokal mieszkalny,B17/1,"6192,50",2025-10-02,"525000,00",2025-10-02,"529 000,00 zł",2025-10-02,Miejsce postojowe,MP37/MP38,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,67D/2,84-239,Lokal mieszkalny,B17/2,"7372,02",2025-10-02,"625000,00",2025-10-02,"629 000,00 zł",2025-10-02,Miejsce postojowe,MP39/MP40,"4000,00",2025-10-02,Komórka Lokatorska,X,X,X,udział w gruncie 11246/571704; udział w budynku 1/2; wyłączność do korzystania z podjazdu z miejscem postojowym i ogródka,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,,84-239,Lokal mieszkalny,,X,2025-09-12,X,2025-09-12,X,2025-09-12,Miejsce rowerowe,MR1,14600,2025-09-12,Komórka Lokatorska,X,X,X,X,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,,84-239,Lokal mieszkalny,,X,2025-09-12,X,2025-09-12,X,2025-09-12,Miejsce rowerowe,MR2,14600,2025-09-12,Komórka Lokatorska,X,X,X,X,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,,84-239,Lokal mieszkalny,,X,2025-09-12,X,2025-09-12,X,2025-09-12,Miejsce rowerowe,MR3,14600,2025-09-12,Komórka Lokatorska,X,X,X,X,X,X,X,X,X,www.tambud.pl
TAMBUD Tadeusz Muchewicz Mateusz Muchewicz Spółka komandytowa,Spółka komandytowa,1026938,,5882465493,388039984,501263547,sekretariat@tambud.pl,x,www.tambud.pl,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,pomorskie,wejherowski,Rumia,Rumia,ul. Dąbrowskiego,42,5,84-230,x,siedziba/mail/telefon,pomorskie,wejherowski,Wejherowo,Bolszewo,ul. Strażacka,,84-239,Lokal mieszkalny,,X,2025-09-12,X,2025-09-12,X,2025-09-12,Miejsce rowerowe,MR4,14600,2025-09-12,Komórka Lokatorska,X,X,X,X,X,X,X,X,X,www.tambud.pl
